symbol,total_trades,win_rate,total_return_pct,profit_factor,sharpe_ratio,max_drawdown_pct,avg_win_eur,avg_loss_eur,final_capital
NVDAx/EUR,6,50.0,2.85,1.77,0.49,-1.86,21.8,-12.31,1028.46
AAPLx/EUR,6,66.7,1.73,2.22,0.71,-1.38,7.86,-7.09,1017.27
BTC/EUR,28,32.1,0.27,1.05,0.04,-1.87,6.84,-3.1,1002.74
TON/EUR,21,33.3,-2.2,0.78,-0.13,-4.53,11.16,-7.15,978.04
SOL/EUR,30,36.7,0.49,1.04,0.05,-2.79,11.77,-6.56,1004.9
BNB/EUR,37,35.1,-2.28,0.83,-0.14,-6.5,8.43,-5.52,977.18
ETH/EUR,31,29.0,2.88,1.22,0.12,-4.14,17.79,-5.97,1028.77
MSFTx/EUR,3,33.3,3.27,4.79,0.8,-0.83,41.28,-4.31,1032.67
GOOGx/EUR,4,50.0,8.95,5.11,1.14,-1.25,55.6,-10.87,1089.45
AMDx/EUR,8,25.0,1.72,1.27,0.26,-3.54,40.92,-10.77,1017.24
AVGOx/EUR,6,66.7,7.27,3.01,0.88,-1.97,27.21,-18.08,1072.69
METAx/EUR,5,20.0,-0.81,0.72,-0.17,-2.52,20.78,-7.22,991.92
PLTRx/EUR,5,20.0,7.08,2.48,0.61,-2.43,118.75,-11.98,1070.81
GLDx/EUR,9,66.7,6.11,6.65,1.35,-0.51,11.98,-3.6,1061.08
CRWDx/EUR,5,40.0,-0.29,0.93,-0.05,-1.87,19.88,-14.22,997.1
NFLXx/EUR,3,33.3,0.53,1.22,0.17,-1.54,30.05,-12.36,1005.34
